집계일자,콘존ID,차로유형구분코드,교통량
20120601,0550CZE200,1,7458
20120601,0550CZE210,1,7478
20120601,0550CZE220,1,5634
20120601,0550CZE230,1,7644
20120601,0550CZE240,1,6956
20120601,0550CZE250,1,7376
20120601,0550CZE260,1,6408
20120601,0550CZE270,1,12277
20120601,0550CZE280,1,12269
20120601,0550CZE290,1,14422
20120601,0550CZE300,1,7280
20120601,0550CZE310,1,7745
20120601,0550CZE320,1,8086
20120601,0550CZE330,1,9888
20120601,0550CZE340,1,13182
20120601,0550CZE345,1,13287
20120601,0550CZS020,1,23985
20120601,0550CZS030,1,49447
20120601,0550CZS040,1,36821
20120601,0550CZS130,1,24904
20120601,0550CZS140,1,22876
20120601,0550CZS150,1,22495
20120601,0550CZS160,1,15087
20120601,0550CZS170,1,13411
20120601,0550CZS180,1,11047
20120601,0550CZS190,1,7231
20120601,0550CZS200,1,7150
20120601,0550CZS210,1,7173
20120601,0550CZS220,1,5679
20120601,0550CZS230,1,7878
20120601,0550CZS240,1,7328
20120601,0550CZS250,1,8426
20120601,0550CZS260,1,8186
20120601,0550CZS270,1,14256
20120601,0550CZS280,1,14725
20120601,0550CZS290,1,16445
20120601,0550CZS300,1,6870
20120601,0550CZS310,1,7494
20120601,0550CZS320,1,8119
20120601,0550CZS330,1,10181
20120601,0550CZS340,1,12197
20120601,0550CZS345,1,11692
20120601,0600CZE020,1,41534
20120601,0600CZE030,1,30295
20120601,0600CZE040,1,28518
20120601,0600CZE050,1,30042
20120601,0600CZE060,1,20353
20120601,0600CZE070,1,18470
20120601,0600CZE080,1,15210
20120601,0600CZE090,1,12566
20120601,0600CZE100,1,10023
20120601,0600CZE110,1,9159
20120601,0600CZE130,1,5912
20120601,0600CZS020,1,39396
20120601,0600CZS030,1,25822
20120601,0600CZS040,1,23433
20120601,0600CZS050,1,22472
20120601,0600CZS060,1,14045
20120601,0600CZS070,1,12400
20120601,0600CZS080,1,10608
20120601,0600CZS090,1,9157
20120601,0600CZS110,1,8274
20120601,0600CZS130,1,9151
20120601,0650CZE080,1,5471
20120601,0650CZE090,1,7833
20120601,0650CZE100,1,8196
20120601,0650CZE110,1,6121
20120601,0650CZE120,1,2708
20120601,0650CZE130,1,5228
20120601,0650CZE140,1,3586
20120601,0650CZE150,1,3638
20120601,0650CZE160,1,-1
20120601,0650CZS080,1,5701
20120601,0650CZS090,1,6194
20120601,0650CZS100,1,6228
20120601,0650CZS110,1,6154
20120601,0650CZS120,1,3302
20120601,0650CZS130,1,5763
20120601,0650CZS140,1,3861
20120601,0650CZS150,1,4038
20120601,0650CZS160,1,-1
20120601,0651CZE010,1,11815
20120601,0651CZE020,1,13127
20120601,0651CZE030,1,13239
20120601,0651CZE040,1,12867
20120601,0651CZE050,1,11826
20120601,0651CZE060,1,8818
20120601,0651CZE070,1,92076
20120601,0651CZS010,1,13455
20120601,0651CZS020,1,14383
20120601,0651CZS030,1,15037
20120601,0651CZS040,1,14983
20120601,0651CZS050,1,13476
20120601,0651CZS060,1,8436
20120601,0651CZS070,1,86337
20120601,1000CZE010,1,91822
20120601,1000CZE020,1,68410
20120601,1000CZE030,1,77397
20120601,1000CZE040,1,81153
20120601,1000CZE050,1,83914
20120601,1000CZE060,1,88524
20120601,1000CZE070,1,119120
20120601,1000CZE080,1,78811
20120601,1000CZE090,1,87757
20120601,1000CZE100,1,93318
20120601,1000CZE110,1,83770
20120601,1000CZE120,1,73356
20120601,1000CZE130,1,-1
20120601,1000CZE210,1,64100
20120601,1000CZE220,1,94297
20120601,1000CZE230,1,69051
20120601,1000CZE240,1,101393
20120601,1000CZE250,1,87218
20120601,1000CZE260,1,101681
20120601,1000CZE270,1,136317
20120601,1000CZE290,1,123375
20120601,1000CZE300,1,73716
